total_points,total_duration,difficulty_1,difficulty_2,difficulty_3,valid
11,28,3,56,14,0
17,42,17,59,7,0
3,34,22,19,24,0
4,21,1,57,12,0
6,53,16,47,15,0
24,49,21,50,29,0
18,7,31,57,6,0
28,51,7,14,29,0
15,55,14,43,0,0
19,53,31,32,8,0
27,44,33,15,13,0
2,55,32,23,24,0
4,35,24,13,23,0
15,14,40,42,23,0
14,55,36,6,12,0
25,33,11,7,26,0
20,34,22,27,5,1
10,33,30,12,17,1
22,5,16,38,19,0
1,54,21,19,28,0
15,23,28,13,5,1
7,46,6,10,8,0
10,10,33,17,8,0
23,1,4,12,7,0
24,26,6,57,2,0
6,49,11,20,7,0
11,41,24,16,9,1
5,14,38,28,11,0
9,27,16,36,21,0
9,44,36,25,4,0
2,39,12,34,6,1
16,49,28,48,21,0
25,36,40,7,13,0
26,31,37,14,0,0
6,47,27,59,0,0
16,0,20,12,18,1
17,15,32,56,30,0
2,6,17,8,27,0
29,54,13,14,1,0
6,2,22,41,1,1
23,6,32,41,14,0
27,48,4,0,18,0
13,43,5,6,22,0
14,0,11,25,11,1
0,36,31,47,13,0
17,50,5,40,9,0
17,3,6,57,28,0
15,31,30,27,18,1
10,53,11,44,28,0
0,54,6,12,20,0
27,54,28,13,11,0
19,1,28,40,30,0
7,49,22,38,15,0
23,48,5,41,2,0
12,37,6,0,27,0
25,21,36,6,2,0
9,9,8,38,14,1
4,20,12,16,5,1
7,30,31,42,14,0
27,15,13,18,15,0
0,12,28,30,29,0
9,29,4,30,1,1
2,12,14,38,15,1
13,19,32,25,30,0
15,53,11,34,5,0
26,37,14,35,24,0
6,46,27,58,30,0
17,54,36,49,5,0
21,42,22,8,18,0
0,20,8,59,8,0
23,34,14,35,24,0
7,32,35,28,13,0
21,10,24,11,25,0
7,25,8,59,0,0
3,35,16,57,13,0
14,47,22,8,9,0
4,37,16,32,24,0
8,41,30,34,26,0
25,7,10,28,4,0
28,48,20,53,1,0
29,3,30,16,22,0
30,4,6,5,7,0
7,10,30,32,7,1
24,8,24,3,23,0
25,5,38,17,2,0
11,18,26,59,19,0
21,19,0,41,24,0
1,54,28,25,14,0
21,26,31,5,29,0
17,52,12,5,21,0
4,6,37,58,19,0
24,28,25,33,12,0
13,38,15,2,23,0
0,24,24,17,30,0
7,31,33,0,8,0
10,9,32,46,13,0
10,43,8,41,19,1
22,19,9,57,25,0
2,44,24,60,1,0
0,35,34,53,16,0
3,27,2,15,27,0
2,52,10,7,22,0
8,18,18,58,26,0
9,33,31,60,13,0
2,29,21,35,8,1
20,52,10,45,12,0
9,18,0,37,4,1
24,22,1,3,9,0
15,55,34,7,27,0
2,16,37,0,0,0
21,28,4,34,27,0
13,51,14,24,2,0
28,35,5,17,15,0
29,6,19,36,11,0
16,6,4,44,7,1
5,21,37,37,24,0
3,4,11,19,11,1
17,35,14,21,8,1
17,30,30,29,0,1
21,6,26,31,15,0
5,12,31,13,7,0
15,1,5,25,24,0
6,17,20,25,16,1
27,20,33,60,2,0
21,4,37,24,26,0
13,16,8,20,28,0
12,43,11,54,1,0
19,37,5,38,2,1
15,38,15,45,15,1
28,51,11,38,14,0
0,9,37,9,29,0
7,6,9,36,21,0
12,3,29,18,18,1
26,12,25,14,6,0
12,53,40,52,9,0
0,36,2,49,7,1
26,34,19,21,9,0
17,44,11,7,8,1
23,41,23,6,16,0
30,30,14,15,28,0
4,41,37,41,24,0
12,16,4,22,21,0
27,24,4,37,19,0
5,50,12,20,21,0
27,50,40,57,9,0
2,2,29,0,14,1
20,15,29,45,14,1
30,14,16,25,1,0
15,12,38,56,14,0
5,43,9,16,21,0
11,25,38,54,11,0
18,53,0,59,3,0
23,49,10,17,15,0
9,42,21,19,15,1
20,9,11,11,11,1
18,27,2,56,1,0
11,0,28,14,23,0
12,45,17,25,5,1
26,13,35,26,10,0
30,13,10,14,8,0
2,37,3,45,29,0
7,27,34,13,2,0
26,53,9,19,22,0
9,11,23,30,10,1
22,17,35,15,2,0
21,35,34,30,6,0
14,53,40,32,10,0
25,13,10,26,23,0
11,41,19,15,2,1
1,19,18,15,1,1
29,27,17,20,16,0
24,29,18,59,0,0
2,37,10,53,18,0
9,44,11,48,28,0
26,33,14,35,4,0
14,25,14,0,16,1
13,41,17,23,2,1
17,49,5,6,30,0
0,9,20,55,26,0
2,37,0,10,12,1
19,39,35,52,29,0
10,51,15,50,12,0
6,4,38,1,3,0
19,41,11,4,27,0
5,52,14,47,5,0
26,29,4,3,18,0
9,47,9,40,20,0
26,39,40,49,20,0
24,21,8,44,17,0
23,42,1,23,8,0
16,45,1,9,23,0
30,21,8,41,3,0
1,7,16,44,22,0
13,40,0,45,6,1
16,52,11,19,1,0
26,10,2,44,30,0
11,0,7,30,25,0
18,19,29,7,13,1
18,39,14,41,12,1
15,5,1,13,29,0
1,12,12,9,7,1
24,51,1,22,0,0
21,22,9,38,5,0
6,43,13,4,0,1
2,34,2,15,9,1
0,20,3,57,24,0
29,13,23,32,17,0
10,52,25,16,3,0
0,43,20,48,30,0
22,3,11,19,29,0
16,48,13,14,2,0
0,40,31,41,29,0
28,47,9,60,16,0
10,10,19,39,14,1
16,19,15,42,12,1
8,52,27,43,24,0
20,32,8,37,15,1
11,35,7,6,7,1
13,17,15,56,9,0
6,42,15,42,19,1
2,19,34,38,8,0
23,43,9,46,2,0
26,22,7,37,21,0
22,3,27,38,12,0
19,3,36,30,10,0
18,27,39,33,23,0
16,26,8,43,28,0
6,10,12,37,28,0
4,13,9,33,9,1
0,2,7,42,25,0
1,29,22,17,6,1
10,13,3,39,23,0
17,51,23,5,15,0
12,18,20,56,10,0
3,23,30,0,4,1
3,21,30,1,28,0
23,41,35,11,5,0
22,9,40,38,3,0
28,20,29,0,15,0
14,0,32,23,13,0
12,29,3,60,21,0
27,31,14,11,21,0
16,32,28,43,5,1
10,47,8,52,5,0
13,1,27,12,13,1
3,9,14,26,9,1
5,4,2,0,4,1
20,19,17,52,15,0
17,0,0,10,21,0
21,26,25,0,16,0
20,47,20,26,13,0
14,12,28,30,21,0
25,17,37,48,6,0
11,20,39,51,21,0
25,12,40,10,15,0
12,40,21,18,0,1
0,18,24,41,8,1
29,55,32,56,7,0
22,15,33,52,5,0
29,4,20,52,9,0
29,48,39,42,11,0
15,26,1,54,15,0
3,45,32,10,29,0
21,38,25,33,20,0
19,48,19,30,10,0
9,47,34,4,26,0
14,46,26,25,1,0
22,31,26,57,22,0
14,47,12,8,19,0
24,14,29,34,3,0
24,14,3,40,7,0
22,34,32,14,12,0
19,6,25,42,26,0
24,49,0,54,20,0
8,36,13,2,11,1
12,14,19,31,21,0
14,12,13,28,25,0
29,6,34,60,18,0
22,36,20,26,11,0
21,28,23,58,6,0
3,49,30,51,2,0
6,28,38,28,11,0
7,40,16,16,17,1
1,28,28,18,9,1
2,29,12,35,20,1
25,30,0,33,22,0
5,55,25,53,6,0
5,38,40,34,29,0
20,38,21,38,26,0
27,42,34,20,25,0
28,20,1,9,6,0
4,44,14,34,4,1
15,34,14,46,18,1
16,21,13,1,23,0
9,28,39,44,29,0
21,10,34,40,4,0
25,42,36,26,13,0
28,18,25,40,18,0
5,8,16,42,30,0
1,6,38,32,10,0
14,37,11,57,24,0
10,11,37,13,5,0
20,35,31,12,9,0
26,22,25,13,27,0
28,3,38,57,26,0
20,46,0,24,2,0
6,0,39,15,27,0
1,35,24,44,17,1
19,26,12,7,16,1
27,36,27,51,30,0
21,14,2,4,11,0
16,18,30,17,2,1
28,48,1,20,28,0
28,14,32,4,4,0
11,1,19,58,7,0
2,24,37,20,7,0
30,24,37,41,15,0
7,23,7,9,22,0
2,20,37,46,10,0
13,36,10,37,23,0
4,54,3,31,18,0
13,0,36,54,25,0
0,23,8,24,2,1
13,36,34,0,25,0
10,13,19,18,27,0
5,31,15,21,4,1
21,36,30,47,2,0
28,27,2,40,15,0
12,51,9,9,18,0
22,15,0,18,11,0
16,45,33,12,7,0
2,15,36,6,9,0
19,39,11,2,18,1
9,10,15,2,16,1
24,17,28,30,21,0
8,16,3,49,18,1
23,29,28,54,17,0
8,12,38,29,26,0
14,6,2,60,12,0
6,55,22,46,13,0
5,31,37,35,25,0
8,26,1,41,20,1
24,46,34,55,16,0
5,7,38,37,14,0
24,26,21,25,20,0
1,24,25,53,19,0
3,43,2,18,28,0
9,19,28,51,17,0
21,31,30,28,15,0
16,12,37,40,15,0
4,21,39,24,17,0
8,6,28,18,27,0
22,1,10,45,10,0
18,55,2,44,16,0
19,1,7,47,5,1
3,11,22,15,27,0
2,24,0,35,27,0
3,21,37,44,28,0
20,51,11,3,21,0
24,13,38,55,9,0
4,46,40,25,25,0
22,1,29,59,26,0
10,54,29,23,4,0
23,44,28,53,4,0
27,5,35,31,29,0
3,35,29,48,30,0
11,54,9,49,23,0
19,35,2,29,17,1
17,49,24,28,21,0
7,48,14,26,15,0
18,40,18,51,30,0
8,23,25,30,2,1
23,14,30,44,6,0
21,47,1,56,23,0
30,49,32,13,14,0
16,11,6,43,24,0
1,0,2,7,6,1
22,1,26,25,28,0
23,55,10,26,22,0
10,9,37,1,29,0
17,12,9,42,27,0
7,3,23,36,19,1
4,38,29,9,11,1
30,7,23,23,3,0
6,46,1,48,15,0
3,20,26,29,18,1
13,31,8,50,12,1
3,24,2,58,15,0
10,11,22,22,3,1
19,49,39,56,9,0
28,29,23,17,22,0
2,1,31,57,3,0
28,25,36,13,24,0
3,5,5,24,4,1
21,34,26,41,28,0
25,30,40,54,13,0
3,19,32,24,23,0
21,22,2,37,19,0
2,16,37,40,11,0
19,52,18,18,25,0
17,19,29,8,30,0
21,38,31,55,23,0
4,3,38,51,10,0
4,55,13,53,23,0
8,3,10,25,24,0
14,6,17,33,10,1
8,6,0,51,19,0
9,18,2,47,1,1
22,0,31,13,8,0
29,6,25,15,30,0
11,24,9,8,9,1
3,41,28,42,12,1
25,0,29,57,9,0
17,20,20,42,9,1
27,51,3,7,29,0
24,2,17,5,17,0
28,33,18,19,7,0
30,43,23,15,5,0
20,50,11,19,16,0
30,6,21,13,23,0
0,48,31,3,29,0
9,26,3,11,5,1
1,38,4,25,25,0
5,24,8,33,27,0
15,7,0,14,15,1
13,37,7,21,24,0
29,42,27,8,7,0
9,4,10,60,23,0
14,7,2,12,14,1
25,20,15,47,12,0
7,7,20,37,17,1
6,9,37,24,20,0
21,30,19,8,20,0
2,12,18,26,19,1
11,52,1,40,0,0
26,53,32,33,8,0
26,9,35,12,19,0
20,9,13,4,12,1
14,29,9,30,1,1
16,5,19,29,14,1
18,1,40,35,21,0
15,30,33,30,13,0
12,43,33,18,13,0
22,10,34,7,0,0
14,34,14,58,15,0
23,54,20,2,23,0
17,12,23,31,23,0
30,1,15,33,2,0
14,23,28,2,23,0
22,19,16,47,2,0
1,37,37,13,1,0
7,52,38,54,15,0
28,10,18,48,11,0
25,20,4,25,9,0
2,49,26,26,10,0
11,42,16,30,21,0
8,3,0,13,11,1
19,36,21,42,15,1
16,44,7,43,12,1
5,43,14,28,16,1
7,19,37,38,25,0
4,19,36,41,23,0
30,42,20,26,28,0
12,51,1,28,6,0
3,19,0,13,26,0
0,46,33,0,11,0
18,17,11,49,4,1
18,16,24,24,10,1
19,33,18,35,11,1
4,33,29,58,29,0
0,12,34,60,1,0
28,10,2,50,27,0
23,32,33,21,11,0
0,15,21,53,17,0
20,11,13,37,1,1
26,29,5,10,13,0
20,43,19,42,15,1
24,7,19,48,9,0
21,46,35,43,17,0
27,7,33,34,29,0
7,19,16,44,2,1
19,44,1,54,10,0
18,25,32,18,24,0
29,44,31,59,9,0
16,21,26,15,1,1
24,37,31,42,15,0
19,32,35,2,22,0
3,55,40,5,25,0
14,54,2,26,16,0
14,46,33,1,13,0
27,13,34,59,22,0
23,22,39,53,19,0
0,40,4,44,7,1
0,23,1,52,15,0
24,45,33,50,9,0
15,5,11,31,25,0
13,42,34,35,0,0
8,43,13,16,14,1
21,7,17,22,12,0
22,19,27,40,16,0
12,44,29,4,7,1
28,1,31,32,7,0
12,45,40,40,14,0
1,49,7,48,2,0
3,50,9,6,26,0
27,38,7,58,19,0
4,3,21,1,9,1
3,6,7,16,15,1
9,48,8,23,7,0
22,15,36,17,30,0
17,5,27,0,23,0
6,31,25,49,29,0
5,45,3,36,27,0
6,28,1,52,16,0
6,17,27,38,5,1
21,29,35,39,19,0
12,17,11,29,14,1
6,10,14,4,12,1
2,10,10,5,1,1
15,50,18,37,18,0
29,32,24,15,1,0
2,22,4,36,0,1
28,44,30,32,0,0
28,6,13,4,30,0
9,30,17,27,11,1
28,47,16,13,25,0
14,15,23,37,23,0
23,0,16,7,11,0
28,14,22,1,13,0
15,25,27,29,24,0
14,1,6,55,8,0
0,45,18,1,5,1
12,3,6,57,12,0
26,26,2,28,9,0
27,43,5,20,5,0
30,1,9,51,25,0
7,42,22,53,2,0
26,17,5,33,7,0
10,38,0,32,20,1
20,14,27,30,9,1
19,8,30,52,17,0
18,32,36,15,3,0
22,47,4,16,0,0
18,10,28,23,9,1
5,47,5,8,13,0
7,20,30,54,27,0
15,55,2,22,17,0
10,34,3,8,16,1
6,49,25,20,3,0
28,32,25,52,30,0
7,39,21,26,23,0
6,33,26,29,3,1
8,35,19,55,16,0
10,26,16,15,25,0
19,3,8,27,6,1
2,19,11,14,10,1
12,49,21,54,8,0
20,40,27,14,16,1
20,51,8,48,9,0
22,45,14,8,16,0
11,12,30,4,13,1
30,36,12,26,30,0
3,38,39,9,12,0
17,27,4,39,4,1
29,1,18,21,18,0
4,51,32,55,16,0
10,26,35,12,26,0
6,5,25,60,13,0
22,8,30,11,30,0
14,14,23,0,4,1
13,21,28,12,5,1
26,41,27,47,3,0
8,25,25,57,12,0
24,39,5,20,28,0
30,50,11,52,18,0
7,10,24,35,15,1
6,39,36,53,6,0
7,46,3,60,24,0
22,39,30,53,24,0
3,49,30,41,26,0
4,15,28,57,15,0
15,37,39,14,1,0
13,24,9,8,17,1
1,45,29,46,29,0
13,0,24,51,24,0
7,26,4,47,4,1
13,32,12,45,29,0
30,36,23,9,22,0
9,54,5,39,27,0
14,51,33,21,9,0
4,11,20,29,20,1
18,10,14,58,6,0
27,25,1,10,17,0
23,53,17,50,27,0
26,3,33,3,28,0
9,44,6,18,10,1
9,33,4,14,2,1
17,47,6,47,11,0
20,40,31,23,26,0
4,53,26,14,20,0
7,28,7,43,9,1
16,30,1,6,15,1
18,34,39,20,12,0
2,29,25,43,18,1
19,34,15,36,22,0
16,0,16,7,3,1
8,21,10,55,30,0
9,26,17,35,26,0
18,19,2,8,9,1
8,15,20,10,27,0
17,49,22,7,12,0
6,17,35,30,27,0
5,2,14,34,3,1
6,7,38,29,1,0
4,52,16,16,24,0
16,28,21,21,25,0
30,45,40,4,11,0
16,34,34,24,17,0
16,22,30,30,28,0
15,3,1,11,21,0
24,51,32,1,5,0
20,24,16,23,3,1
6,8,14,45,11,1
2,40,14,20,5,1
25,2,7,35,22,0
21,9,39,16,9,0
23,46,39,17,27,0
19,39,25,33,29,0
10,26,14,55,5,0
1,0,33,18,27,0
23,7,9,48,14,0
4,23,0,8,18,1
13,38,39,49,29,0
18,50,4,41,24,0
27,24,36,13,22,0
15,24,8,9,9,1
23,52,20,11,10,0
5,54,1,16,29,0
8,43,34,5,17,0
27,13,9,56,18,0
20,15,27,23,26,0
30,0,38,32,4,0
6,53,11,9,26,0
0,44,2,56,6,0
3,51,31,33,1,0
12,39,21,54,20,0
28,11,3,13,0,0
24,5,27,7,24,0
6,21,13,20,17,1
23,16,23,29,11,0
30,51,5,45,8,0
15,25,20,48,8,1
0,40,0,9,18,1
3,51,38,53,13,0
23,34,13,3,13,0
6,5,16,26,27,0
28,49,31,37,10,0
27,5,40,13,17,0
14,8,24,27,19,1
17,17,16,51,22,0
9,53,7,23,18,0
19,0,8,2,8,1
11,42,23,41,26,0
11,47,8,25,26,0
14,31,13,37,0,1
29,49,36,34,6,0
10,51,39,23,30,0
4,46,16,48,18,0
15,0,35,24,0,0
10,2,10,16,28,0
23,26,36,12,29,0
20,43,27,9,22,0
4,13,6,48,15,1
0,35,0,13,12,1
4,54,28,54,26,0
8,16,2,51,15,0
9,50,29,58,27,0
30,5,33,5,25,0
16,25,20,5,7,1
21,14,19,4,24,0
30,46,7,48,25,0
29,37,18,39,5,0
20,32,24,59,10,0
15,12,7,41,17,1
29,34,6,11,16,0
0,28,3,38,15,1
2,33,39,59,22,0
7,26,39,57,11,0
5,52,4,3,9,0
29,18,36,23,23,0
16,18,17,4,12,1
30,21,14,51,25,0
15,43,33,12,22,0
5,7,13,57,17,0
18,42,2,44,14,1
24,40,1,21,21,0
10,27,29,37,8,1
25,35,28,11,8,0
22,10,30,19,3,0
2,45,37,22,16,0
2,12,2,49,23,0
27,20,23,12,28,0
3,5,18,55,6,0
23,12,35,33,20,0
26,44,7,16,15,0
3,6,5,58,3,0
9,39,16,12,17,1
14,55,6,22,21,0
5,32,20,11,24,0
5,47,33,52,21,0
23,27,24,24,29,0
4,8,13,56,16,0
29,13,21,29,3,0
4,35,38,40,27,0
0,27,20,51,10,0
9,35,33,35,20,0
21,15,22,6,16,0
27,29,4,19,6,0
13,23,8,56,18,0
15,30,23,53,8,0
23,32,30,36,24,0
15,13,39,21,2,0
15,7,18,10,3,1
21,25,6,53,27,0
9,40,24,21,22,0
8,41,16,8,15,1
24,43,33,59,10,0
11,43,12,26,8,1
5,28,3,38,6,1
3,7,9,13,4,1
8,30,27,3,2,1
21,26,9,47,9,0
1,30,39,8,11,0
0,50,37,23,18,0
8,29,22,35,17,1
6,12,29,48,25,0
7,14,14,37,25,0
17,17,9,12,18,1
5,52,19,45,12,0
28,51,14,53,5,0
9,12,13,44,15,1
4,34,39,4,18,0
13,50,37,33,30,0
8,37,37,13,23,0
24,9,32,7,28,0
27,17,15,30,27,0
3,18,38,41,6,0
11,33,28,34,15,1
8,35,11,46,12,1
21,33,34,35,24,0
1,55,28,15,1,0
16,14,0,47,18,1
28,15,37,5,17,0
9,8,38,7,2,0
3,7,9,4,21,0
26,35,8,31,11,0
20,10,39,21,0,0
18,23,34,47,21,0
9,42,30,33,21,0
13,40,31,10,8,0
23,9,35,53,25,0
29,34,40,33,7,0
22,0,18,51,0,0
3,1,8,22,15,1
5,27,30,45,15,1
13,42,9,15,27,0
28,13,25,49,29,0
18,3,40,46,19,0
4,21,15,2,14,1
12,49,8,27,24,0
15,34,37,17,13,0
7,36,36,53,13,0
8,18,6,53,15,0
12,11,36,44,12,0
2,16,26,13,6,1
0,12,14,32,1,1
27,8,4,55,26,0
16,14,0,33,12,1
23,2,5,20,5,0
6,14,23,50,25,0
26,17,29,38,14,0
26,48,28,15,18,0
28,47,39,26,29,0
20,24,6,60,4,0
25,55,39,21,8,0
25,17,12,11,23,0
6,46,5,35,28,0
20,3,21,7,7,1
20,47,16,4,7,0
15,41,34,24,27,0
18,42,19,33,21,0
16,38,6,48,0,1
12,54,24,27,1,0
1,41,26,0,14,1
23,14,21,8,24,0
21,41,19,28,27,0
3,5,27,20,17,1
12,13,7,24,5,1
7,50,37,14,8,0
4,28,13,36,5,1
6,54,9,17,12,0
17,23,4,42,29,0
16,25,7,32,19,1
1,34,22,14,5,1
29,50,8,15,19,0
4,53,1,27,30,0
3,8,36,28,13,0
8,5,25,56,0,0
13,1,23,59,20,0
14,22,8,11,26,0
21,39,13,42,9,0
0,20,36,3,4,0
6,21,11,28,21,0
25,28,24,26,3,0
24,25,31,33,5,0
4,19,27,30,24,0
23,13,19,53,12,0
4,41,2,18,15,1
24,16,1,13,7,0
4,22,12,17,28,0
17,48,15,3,16,0
26,49,20,13,25,0
2,16,17,12,15,1
14,35,24,47,12,1
10,43,8,34,17,1
4,21,10,51,18,0
22,37,28,38,26,0
12,5,25,39,7,1
6,50,0,49,9,0
11,31,32,14,30,0
24,46,31,12,30,0
30,48,29,25,26,0
13,7,30,19,26,0
20,31,25,39,14,1
0,30,5,11,0,1
21,15,9,28,23,0
13,27,36,30,17,0
2,25,28,28,11,1
18,49,16,4,0,0
20,15,14,41,2,1
27,6,4,37,8,0
23,23,37,51,13,0
12,20,4,32,2,1
14,51,11,35,7,0
27,2,1,10,30,0
22,46,7,29,6,0
2,49,33,17,6,0
26,45,25,58,25,0
9,29,32,41,30,0
27,19,21,29,11,0
27,38,18,40,2,0
11,11,38,10,4,0
13,30,15,2,22,0
1,26,35,4,22,0
3,47,11,9,13,0
5,12,28,26,28,0
20,14,6,26,12,1
4,55,26,12,26,0
6,13,17,55,17,0
26,3,13,35,10,0
15,44,4,6,28,0
27,27,22,56,1,0
29,37,34,1,26,0
20,35,4,51,11,0
18,44,32,53,21,0
15,41,14,30,1,1
23,39,17,31,11,0
20,13,23,15,27,0
27,53,40,58,1,0
19,43,1,32,23,0
27,50,19,25,0,0
19,46,16,14,12,0
6,33,6,30,17,1
6,21,40,24,21,0
2,53,16,34,18,0
0,35,13,33,4,1
24,4,23,36,8,0
18,22,4,1,27,0
6,37,7,35,5,1
14,27,23,31,30,0
10,54,2,35,13,0
30,25,22,11,1,0
18,11,11,3,24,0
21,47,17,58,7,0
17,55,16,11,17,0
12,17,20,42,8,1
27,19,27,15,20,0
0,0,16,50,6,1
22,44,12,2,1,0
19,39,31,55,19,0
17,11,8,56,5,0
4,7,3,17,10,1
6,39,23,37,8,1
17,35,32,35,27,0
10,29,35,31,1,0
5,16,20,34,16,1
13,48,32,30,23,0
25,11,19,38,17,0
1,40,37,21,3,0
15,54,8,8,19,0
25,24,15,8,10,0
23,23,35,31,13,0
13,9,37,55,23,0
3,30,7,51,23,0
3,0,33,29,22,0
0,46,14,13,10,0
16,6,25,0,0,1
14,30,28,6,5,1
1,37,0,58,23,0
27,14,12,11,1,0
8,14,28,3,16,1
2,19,9,0,12,1
8,43,19,25,8,1
25,3,6,50,29,0
22,14,17,32,26,0
1,9,20,48,20,1
30,49,5,27,29,0
6,55,13,33,20,0
14,51,6,1,15,0
18,49,7,4,25,0
10,21,37,26,20,0
22,38,13,60,0,0
23,15,1,54,30,0
29,45,29,43,16,0
23,19,31,29,7,0
19,24,39,31,24,0
26,47,39,8,0,0
0,40,20,50,13,1
13,38,34,7,22,0
30,25,1,17,14,0
5,11,10,53,6,0
23,50,17,43,13,0
9,18,8,0,19,1
0,41,28,1,22,0
18,45,5,40,6,1
2,29,16,7,29,0
27,13,18,9,9,0
19,13,32,60,13,0
16,25,3,52,12,0
1,37,19,48,16,1
15,15,33,45,28,0
18,13,7,52,16,0
19,4,18,55,20,0
9,51,40,11,22,0
21,3,12,14,25,0
27,18,30,14,12,0
8,6,33,1,3,0
22,13,34,17,20,0
19,1,26,44,9,1
10,47,36,32,11,0
30,8,29,41,7,0
24,53,15,31,20,0
16,52,19,51,11,0
11,4,6,15,22,0
10,30,5,59,23,0
29,24,34,34,12,0
5,30,39,45,15,0
17,30,40,23,11,0
18,47,31,43,21,0
19,37,10,48,22,0
19,47,25,25,11,0
18,36,30,60,5,0
22,39,13,26,26,0
1,44,33,45,5,0
20,26,30,52,29,0
3,51,0,39,12,0
1,16,32,39,5,0
16,24,15,40,3,1
24,42,19,41,28,0
30,35,16,19,12,0
24,52,9,22,26,0
21,27,24,0,23,0
12,31,10,54,30,0
0,52,18,45,13,0
29,26,18,19,20,0
10,33,40,8,25,0
23,16,12,48,11,0
22,32,19,16,15,0
9,5,35,39,29,0
29,18,9,1,30,0
2,26,37,41,15,0
18,15,1,57,7,0
19,27,36,48,23,0
20,14,35,55,25,0
9,29,2,49,6,1
25,27,27,10,6,0
9,12,4,60,4,0
13,44,33,41,7,0
16,7,35,28,5,0
10,8,37,10,30,0
7,19,0,14,8,1
0,40,40,47,20,0
1,30,31,19,30,0
0,41,35,43,9,0
27,47,29,9,8,0
28,28,39,0,13,0
3,30,22,32,23,0
0,7,20,48,25,0
16,54,14,59,20,0
26,41,17,53,22,0
7,46,27,55,13,0
18,38,33,15,6,0
23,13,33,42,20,0
29,55,30,11,29,0
21,6,8,3,19,0
25,36,33,15,3,0
28,40,28,38,2,0
25,3,24,42,23,0
23,27,4,3,6,0
16,24,0,60,23,0
1,15,12,44,1,1
0,1,35,43,21,0
15,29,12,58,1,0
15,41,32,7,18,0
19,15,14,51,3,0
21,42,4,27,18,0
28,3,4,5,7,0
27,22,28,2,12,0
28,24,23,45,13,0
4,33,20,23,27,0
23,13,35,35,6,0
0,20,21,17,6,1
22,24,31,9,6,0
12,30,38,1,6,0
30,28,14,42,1,0
14,20,32,2,7,0
7,19,36,37,6,0
19,14,12,29,7,1
14,45,2,10,5,1
29,6,38,0,3,0
9,39,8,59,1,0
11,38,18,2,29,0
18,0,1,49,5,1
15,48,6,23,4,0
30,48,35,5,25,0
8,15,21,41,22,0
6,20,0,31,26,0
29,3,6,1,9,0
22,52,11,5,16,0
25,1,6,60,21,0
8,29,14,29,10,1
0,44,4,17,6,1
23,53,35,15,15,0
30,39,26,15,2,0
14,20,23,55,18,0
12,11,33,29,20,0
16,50,33,26,26,0
28,19,5,34,21,0
1,9,33,2,10,0
12,35,3,13,28,0
20,35,10,59,21,0
25,1,35,50,8,0
30,19,38,31,28,0
14,9,4,30,10,1
23,22,31,12,3,0
21,6,38,5,16,0
11,55,33,2,27,0
18,13,28,56,13,0
23,32,37,27,23,0
9,11,24,17,26,0
29,4,7,46,11,0
6,18,26,33,23,0
0,54,11,41,12,0
23,19,5,44,19,0
20,20,39,56,19,0
9,35,12,60,8,0
8,45,27,57,4,0
5,51,5,11,26,0
20,54,10,56,16,0
25,39,4,3,17,0
1,44,36,51,12,0
18,51,15,34,12,0
0,19,7,56,2,0
7,6,40,12,10,0
13,35,39,11,3,0
2,49,6,58,11,0
6,10,39,29,27,0
9,22,33,53,21,0
17,21,9,56,14,0
4,27,16,55,29,0
17,29,40,59,17,0
22,46,10,7,15,0
24,35,23,5,26,0
28,40,19,60,29,0
30,53,27,29,17,0
5,3,8,42,4,1
25,7,22,14,3,0
21,41,19,26,11,0
17,8,26,50,1,1
12,51,12,6,16,0
22,11,14,31,15,0
14,20,23,47,29,0
11,9,31,46,3,0
18,0,33,16,30,0
6,17,25,11,3,1
5,14,23,1,28,0
7,5,3,39,3,1
25,47,22,47,1,0
19,7,7,47,24,0
28,9,27,41,4,0
8,0,29,3,8,1
7,19,5,57,7,0
13,40,14,49,26,0
20,36,37,18,2,0
19,54,5,36,16,0
2,7,25,41,27,0
5,9,35,60,23,0
2,24,34,16,9,0
28,25,2,36,24,0
10,46,24,21,17,0
9,25,25,3,6,1
29,40,29,17,0,0
17,43,0,18,2,1
6,1,13,26,5,1
14,43,34,1,25,0
14,27,7,51,30,0
15,30,28,26,11,1
28,48,35,22,20,0
1,28,16,11,20,1
28,33,15,8,13,0
20,31,14,6,20,1
0,23,25,34,24,0
20,25,18,14,0,1
24,9,6,40,8,0
20,48,36,7,14,0
14,5,10,49,18,1
11,24,25,58,9,0
24,47,12,2,29,0
22,33,13,46,29,0
12,27,18,51,12,0
20,30,12,23,11,1
30,48,3,1,8,0
19,7,23,16,17,1
13,7,10,57,22,0
12,23,28,41,9,1
24,50,18,45,9,0
5,19,12,9,16,1
2,30,22,2,27,0
25,54,7,23,21,0
9,14,14,40,3,1
21,43,30,20,17,0
25,20,21,35,10,0
16,30,0,6,3,1
11,26,18,13,9,1
7,27,35,18,21,0
30,39,29,19,16,0
9,54,36,21,4,0
18,6,29,42,20,1
13,31,11,42,14,1
17,10,2,10,19,1
23,9,30,46,21,0
4,3,14,15,8,1
12,52,23,1,13,0
27,3,13,52,4,0
9,48,21,4,20,0
4,23,22,8,10,1
17,20,20,14,20,1
27,39,7,53,21,0
3,47,38,12,24,0
3,13,32,20,26,0
14,41,3,57,11,0
12,20,36,54,10,0
3,6,38,50,15,0
